OBJECTID,POINT_X,POINT_Y
1,-98.49708317,33.91806007
2,-98.49952994,33.921059
3,-98.50196487,33.92406497
4,-98.50459613,33.92692928
5,-98.50874445,33.92713347
6,-98.51301364,33.92695209
7,-98.51728542,33.92764073
8,-98.52155998,33.9283191
9,-98.52583863,33.92897944
10,-98.53012018,33.929627
11,-98.53439956,33.93028435
12,-98.53868004,33.93093688
13,-98.54295283,33.93162386
14,-98.54722886,33.93229674
15,-98.55150524,33.93296831
16,-98.55578279,33.93363486
17,-98.56006044,33.93430113
18,-98.56433805,33.93496766
19,-98.56861593,33.93563316
20,-98.57289432,33.93629655
21,-98.5771727,33.93696008
22,-98.58145005,33.93762836
23,-98.58572802,33.93829408
24,-98.590006,33.93895984
25,-98.59428175,33.93963562
26,-98.59856174,33.94029264
27,-98.6028426,33.94094588
28,-98.60712067,33.94161181
29,-98.61139813,33.94228063
30,-98.61567351,33.94295878
31,-98.61994895,33.94363678
32,-98.62422546,33.94431026
33,-98.62850601,33.9449658
34,-98.6327878,33.94561582
35,-98.63706797,33.94627336
36,-98.64134813,33.94693111
37,-98.64562862,33.9475875
38,-98.6499091,33.94824407
39,-98.65418724,33.94891133
40,-98.65846405,33.94958374
41,-98.66274477,33.95023929
42,-98.66703091,33.95087018
43,-98.66913025,33.94932205
44,-98.67034249,33.94656576
45,-98.67169416,33.94395317
46,-98.67181073,33.9403312
47,-98.67189647,33.93670923
48,-98.67187342,33.93308206
49,-98.67186469,33.92945482
50,-98.67327618,33.92628909
51,-98.67758561,33.92603518
52,-98.68192597,33.92581924
53,-98.6862769,33.92577579
54,-98.69062808,33.92575146
55,-98.69497928,33.92573043
56,-98.69930055,33.92603557
57,-98.70365178,33.9260546
58,-98.70800306,33.9260486
59,-98.71235428,33.92602738
60,-98.7166871,33.925846
61,-98.72089951,33.92493768
62,-98.72510577,33.92400923
63,-98.72931194,33.92308063
64,-98.7334608,33.92199737
65,-98.73757575,33.92082496
66,-98.74185864,33.92021008
67,-98.7461854,33.91982778
68,-98.75051212,33.91944533
69,-98.75483881,33.91906274
70,-98.75916545,33.91868
71,-98.76348459,33.91824691
72,-98.76778826,33.9177139
73,-98.77209187,33.91718074
74,-98.77639542,33.91664744
75,-98.7806441,33.91588454
76,-98.78485522,33.91497291
77,-98.78909447,33.91415751
78,-98.79336286,33.91345661
79,-98.79763513,33.91277118
80,-98.8019689,33.91253699
81,-98.80631803,33.9124422
82,-98.81066716,33.91234726
83,-98.81501627,33.91225218
84,-98.81887134,33.91257442
85,-98.82172971,33.91530284
86,-98.82436157,33.91819121
87,-98.82698673,33.92108388
88,-98.82961207,33.92397649
89,-98.83224084,33.92686677
90,-98.83501853,33.92965881
91,-98.83704286,33.93280888
92,-98.83729341,33.93642858
93,-98.83744117,33.94005358
94,-98.83747835,33.94368049
95,-98.83748706,33.94730773
96,-98.83749576,33.95093496
97,-98.83749248,33.95456219
98,-98.83748417,33.95818941
99,-98.83747586,33.96181662
100,-98.83746755,33.96544383
101,-98.83744907,33.96907101
102,-98.83742856,33.97269817
103,-98.83740806,33.97632533
104,-98.83738755,33.97995249
105,-98.83736704,33.98357963
106,-98.83732789,33.98720665
107,-98.8372758,33.99083356
108,-98.8372237,33.99446047
109,-98.83720552,33.9980876
110,-98.83718971,34.00171473
111,-98.8371414,34.00534165
112,-98.83709986,34.00896863
113,-98.83705967,34.01259562
114,-98.83702071,34.01622261
115,-98.83698175,34.01984959
116,-98.83694278,34.02347657
117,-98.83690381,34.02710354
118,-98.83686484,34.0307305
119,-98.83663854,34.03434577
120,-98.83507487,34.03771678
121,-98.83303239,34.04092063
122,-98.83157899,34.04430509
123,-98.83146485,34.04792767
124,-98.83143482,34.05155466
125,-98.83140479,34.05518165
126,-98.8305075,34.05808196
127,-98.82614963,34.05808264
128,-98.82179177,34.05808317
129,-98.81743391,34.05808355
130,-98.81307604,34.05808378
131,-98.80871818,34.05808386
132,-98.80436032,34.05808379
133,-98.80000245,34.05808357
134,-98.79564461,34.05809298
135,-98.79175795,34.05783887
136,-98.78869025,34.05526278
137,-98.78457808,34.05448445
138,-98.78022051,34.05445828
139,-98.77586299,34.05442788
140,-98.77150572,34.05438004
141,-98.76717761,34.05454398
142,-98.764338,34.05720026
143,-98.76017222,34.05783614
144,-98.75581453,34.05780469
145,-98.75145685,34.05777309
146,-98.74709917,34.05774135
147,-98.74274149,34.05770945
148,-98.73838382,34.0576774
149,-98.73404408,34.05777679
150,-98.73182808,34.06059448
151,-98.73118316,34.06411185
152,-98.72722743,34.06514139
153,-98.72286935,34.06511259
154,-98.71851128,34.06508363
155,-98.71415321,34.06505452
156,-98.70979514,34.06502526
157,-98.70543707,34.06499585
158,-98.70107901,34.06496629
159,-98.69672095,34.06493657
160,-98.6923629,34.06490611
161,-98.68800485,34.0648755
162,-98.68364681,34.06484475
163,-98.67933786,34.06485541
164,-98.67929943,34.06848232
165,-98.679261,34.07210922
166,-98.67922256,34.07573611
167,-98.67887254,34.07927895
168,-98.67453893,34.07935908
169,-98.67018009,34.07933596
170,-98.66582126,34.07931269
171,-98.66146243,34.07928927
172,-98.6571036,34.0792657
173,-98.65279485,34.079475
174,-98.64969351,34.08197085
175,-98.64536611,34.08216787
176,-98.64100707,34.08215622
177,-98.63664803,34.08214443
178,-98.632289,34.08213664
179,-98.62793004,34.08212229
180,-98.62357107,34.08209883
181,-98.6192121,34.08207521
182,-98.61485314,34.08205145
183,-98.61049417,34.0820288
184,-98.60613519,34.0820066
185,-98.60177713,34.08193688
186,-98.59742022,34.08182308
187,-98.59535385,34.07983344
188,-98.59099563,34.07989972
189,-98.58663756,34.07997192
190,-98.58274574,34.07965769
191,-98.58173501,34.07618762
192,-98.57907611,34.07331496
193,-98.57550845,34.07136012
