OBJECTID,POINT_X,POINT_Y
1,-98.49672,33.91761
2,-98.49590542,33.92006398
3,-98.4929737,33.92149529
4,-98.49003185,33.91968426
5,-98.48757217,33.91669223
6,-98.4851353,33.9136977
7,-98.48212099,33.91445488
8,-98.47777038,33.91442983
9,-98.4739263,33.9139314
10,-98.4695758,33.91389767
11,-98.4652253,33.91386379
12,-98.46093891,33.91413007
13,-98.4586785,33.91587927
14,-98.45643321,33.91763793
15,-98.45431387,33.91949933
16,-98.45203953,33.92127529
17,-98.44768857,33.92125079
18,-98.44333776,33.92122333
19,-98.43898674,33.92120893
20,-98.43463572,33.92119439
21,-98.43028471,33.9211797
22,-98.42593369,33.92116485
23,-98.42158268,33.92114986
24,-98.41723167,33.92113471
25,-98.41288066,33.92111942
26,-98.40852965,33.92110398
27,-98.40417865,33.92108838
28,-98.39982764,33.92107264
29,-98.399001,33.92404582
30,-98.39894525,33.92767279
31,-98.3988895,33.93129977
32,-98.39835214,33.93450983
33,-98.3940018,33.93441904
34,-98.39020265,33.93481382
35,-98.39006989,33.93843939
36,-98.38921016,33.94142089
37,-98.38486014,33.94130991
38,-98.38135095,33.94052808
39,-98.38140832,33.93690114
40,-98.3814657,33.93327419
41,-98.38137794,33.92965247
42,-98.3814771,33.92602614
43,-98.37819104,33.92812939
44,-98.37480273,33.9304053
45,-98.37141425,33.93268112
46,-98.36802559,33.93495684
47,-98.36463675,33.93723248
48,-98.36124774,33.93950801
49,-98.3575063,33.9409201
50,-98.35315538,33.94083835
51,-98.34880446,33.94075645
52,-98.3462345,33.93915967
53,-98.34188309,33.93910291
54,-98.33753169,33.93904599
55,-98.33318029,33.93898893
56,-98.3288289,33.93893172
57,-98.32721309,33.93665741
58,-98.32726636,33.93303042
59,-98.32731962,33.92940342
60,-98.32737289,33.92577642
61,-98.32953579,33.92396046
62,-98.33388635,33.9240224
63,-98.33823691,33.92408419
64,-98.34258748,33.92414583
65,-98.34643306,33.92376821
66,-98.34654274,33.92014208
67,-98.34945212,33.918953
68,-98.35380236,33.91901801
69,-98.35815261,33.91908287
70,-98.36250287,33.91914757
71,-98.36685313,33.91921213
72,-98.3712034,33.91927654
73,-98.37555368,33.91934079
74,-98.37990396,33.9194049
75,-98.384242,33.91964549
76,-98.38774449,33.92077223
77,-98.39209541,33.92079804
78,-98.39644633,33.92082369
79,-98.40079726,33.92084919
80,-98.40514819,33.92087453
81,-98.40949912,33.92089973
82,-98.41385005,33.92092478
83,-98.41820099,33.92094968
84,-98.42255193,33.92097443
85,-98.42690287,33.92099903
86,-98.43125381,33.92102348
87,-98.43560476,33.92104778
88,-98.43995571,33.92107192
89,-98.44430666,33.92109592
90,-98.44865761,33.92111977
91,-98.45300857,33.92114347
92,-98.45415653,33.9184357
93,-98.45740821,33.91753691
94,-98.45860761,33.91487271
95,-98.46185734,33.91395422
96,-98.46615108,33.91369416
97,-98.47050152,33.91373194
98,-98.47485197,33.91376958
99,-98.47919481,33.91390541
100,-98.48338736,33.91328166
101,-98.48534392,33.9101681
102,-98.48632655,33.90695103
103,-98.48877995,33.90994162
104,-98.49120405,33.91295361
105,-98.49165267,33.9135279
