OBJECTID,POINT_X,POINT_Y
1,-98.49165267,33.9135279
2,-98.48923931,33.91050997
3,-98.48678737,33.90751386
4,-98.48549504,33.90949485
5,-98.48400592,33.91283028
6,-98.48001684,33.91390804
7,-98.47567396,33.91377667
8,-98.47132351,33.91373906
9,-98.46697307,33.91370131
10,-98.4626751,33.91393647
11,-98.45862258,33.91418748
12,-98.45823021,33.91754511
13,-98.4541698,33.91775044
14,-98.45383065,33.92114793
15,-98.44947969,33.92112426
16,-98.44512874,33.92110044
17,-98.44077779,33.92107647
18,-98.43642684,33.92105235
19,-98.43207589,33.92102808
20,-98.42772495,33.92100366
21,-98.42337401,33.92097909
22,-98.41902307,33.92095437
23,-98.41467213,33.9209295
24,-98.4103212,33.92090448
25,-98.40597027,33.92087931
26,-98.40161934,33.92085399
27,-98.39726841,33.92082852
28,-98.39291749,33.92080289
29,-98.3888975,33.92167788
30,-98.38531011,33.92373056
31,-98.38172255,33.92578313
32,-98.49582927,33.91986915
33,-98.49323704,33.92134383
34,-98.49021271,33.91990426
35,-98.48775302,33.91691223
36,-98.48533911,33.91390328
37,-98.48244089,33.91445671
38,-98.47809027,33.91443168
39,-98.47424619,33.91393387
40,-98.46989569,33.91390015
41,-98.46554519,33.91386629
42,-98.4612588,33.91413131
43,-98.45868129,33.91561257
44,-98.45675312,33.91763966
45,-98.45431601,33.91923263
46,-98.45235945,33.92127709
47,-98.44800849,33.9212526
48,-98.44365768,33.92122438
49,-98.43930667,33.92121
50,-98.43495565,33.92119546
51,-98.43060463,33.92118078
52,-98.42625362,33.92116595
53,-98.42190261,33.92115097
54,-98.41755159,33.92113583
55,-98.41320059,33.92112055
56,-98.40884958,33.92110512
57,-98.40449857,33.92108953
58,-98.40014757,33.9210738
59,-98.3990051,33.92377913
60,-98.39894935,33.92740611
61,-98.3988936,33.93103308
62,-98.39867202,33.9345165
63,-98.39432167,33.93442572
64,-98.39021241,33.93454724
65,-98.39007965,33.93817281
66,-98.38953001,33.94142904
67,-98.38517999,33.94131808
68,-98.38134673,33.94079476
69,-98.38140411,33.93716782
70,-98.38146148,33.93354088
71,-98.38136607,33.92991903
72,-98.38145042,33.92629244
73,-98.37840546,33.92798516
74,-98.37501719,33.9302611
75,-98.37162874,33.93253694
76,-98.36824011,33.93481269
77,-98.3648513,33.93708835
78,-98.36146232,33.93936392
79,-98.3577818,33.94092527
80,-98.35343087,33.94084353
81,-98.34907996,33.94076164
82,-98.34627075,33.93936823
83,-98.34215862,33.93910651
84,-98.33780721,33.9390496
85,-98.33345581,33.93899255
86,-98.32910442,33.93893535
87,-98.32713491,33.94093372
88,-98.32706489,33.94440264
89,-98.3269067,33.94802743
90,-98.32684908,33.95165435
91,-98.32679146,33.95528127
92,-98.32673383,33.95890818
93,-98.32667619,33.96253508
94,-98.32661855,33.96616198
95,-98.32656091,33.96978887
96,-98.32650326,33.97341576
97,-98.32313774,33.97424358
98,-98.31878407,33.9742351
99,-98.31443039,33.97422648
100,-98.3112016,33.97516415
101,-98.31116931,33.97879125
102,-98.31113702,33.98241834
103,-98.31110473,33.98604542
104,-98.31107244,33.9896725
105,-98.31104014,33.99329957
106,-98.31100784,33.99692664
107,-98.30904047,33.99893185
108,-98.30468555,33.99893589
109,-98.30033064,33.99893977
110,-98.29597572,33.99894351
111,-98.29162081,33.99894709
112,-98.28726589,33.99895052
113,-98.28291098,33.9989538
114,-98.27855606,33.99895694
115,-98.27420114,33.99895992
116,-98.27410991,34.00248617
117,-98.27414068,34.00611323
118,-98.27417145,34.00974028
119,-98.27420222,34.01336733
120,-98.27423299,34.01699438
121,-98.27087568,34.01782911
