OBJECTID,POINT_X,POINT_Y
1,-98.49708317,33.91806007
2,-98.49952994,33.921059
3,-98.50196487,33.92406497
4,-98.50459613,33.92692928
5,-98.50874445,33.92713347
6,-98.51301364,33.92695209
7,-98.51728542,33.92764073
8,-98.52155998,33.9283191
9,-98.52583863,33.92897944
10,-98.53012018,33.929627
11,-98.53439956,33.93028435
12,-98.53868004,33.93093688
13,-98.54295283,33.93162386
14,-98.54722886,33.93229674
15,-98.55150524,33.93296831
16,-98.55578279,33.93363486
17,-98.56006044,33.93430113
18,-98.56433805,33.93496766
19,-98.56861593,33.93563316
20,-98.57289432,33.93629655
21,-98.5771727,33.93696008
22,-98.58145005,33.93762836
23,-98.58572802,33.93829408
24,-98.590006,33.93895984
25,-98.59428175,33.93963562
26,-98.59856174,33.94029264
27,-98.6028426,33.94094588
28,-98.60712067,33.94161181
29,-98.61139813,33.94228063
30,-98.61567351,33.94295878
31,-98.61994895,33.94363678
32,-98.62422546,33.94431026
33,-98.62850601,33.9449658
34,-98.6327878,33.94561582
35,-98.63706797,33.94627336
36,-98.64134813,33.94693111
37,-98.64562862,33.9475875
38,-98.6499091,33.94824407
39,-98.65418724,33.94891133
40,-98.65846405,33.94958374
41,-98.66274477,33.95023929
42,-98.66703091,33.95087018
43,-98.66913025,33.94932205
44,-98.67034186,33.94656575
45,-98.67169416,33.94395418
46,-98.67181055,33.94033226
47,-98.67189645,33.93671035
48,-98.67187343,33.93308317
49,-98.67186469,33.92945594
50,-98.67327439,33.92628931
51,-98.67758372,33.92603519
52,-98.68192409,33.92581926
53,-98.68627502,33.9257758
54,-98.6906262,33.92575147
55,-98.6949774,33.92573044
56,-98.69929867,33.92603556
57,-98.7036499,33.9260546
58,-98.70800118,33.92604861
59,-98.71235239,33.92602739
60,-98.71668527,33.92584636
61,-98.72089769,33.92493809
62,-98.72510395,33.92400963
63,-98.72931012,33.92308103
64,-98.733459,33.92199793
65,-98.73757376,33.92082506
66,-98.74185665,33.92021025
67,-98.74618341,33.91982796
68,-98.75051013,33.91944551
69,-98.75483681,33.91906292
70,-98.75916346,33.91868018
71,-98.7634826,33.91824716
72,-98.76778626,33.91771415
73,-98.77208987,33.91718099
74,-98.77639343,33.91664769
75,-98.78064212,33.91588497
76,-98.78485324,33.91497334
77,-98.78909248,33.91415789
78,-98.79336085,33.91345693
79,-98.79763312,33.9127715
80,-98.8019668,33.91253704
81,-98.80631594,33.91244225
82,-98.81066506,33.91234731
83,-98.81501417,33.91225222
84,-98.81886983,33.91257311
85,-98.82172836,33.91530137
86,-98.82436023,33.91818973
87,-98.82698539,33.9210824
88,-98.82961073,33.92397502
89,-98.83223872,33.92686578
90,-98.83501708,33.92965737
91,-98.8370433,33.93280676
92,-98.8372933,33.93642652
93,-98.8374411,33.94005152
94,-98.83747835,33.94367843
95,-98.83748705,33.94730567
96,-98.83749576,33.9509329
97,-98.83749249,33.95456013
98,-98.83748418,33.95818735
99,-98.83747587,33.96181457
100,-98.83746756,33.96544178
101,-98.83744908,33.96906895
102,-98.83742857,33.97269612
103,-98.83740807,33.97632328
104,-98.83738756,33.97995043
105,-98.83736705,33.98357758
106,-98.83732792,33.98720459
107,-98.83727583,33.9908315
108,-98.83722373,33.99445841
109,-98.84085417,33.99622261
110,-98.84474215,33.99785649
111,-98.84863027,33.99949024
112,-98.85251854,34.00112388
113,-98.85640381,34.00276256
114,-98.86028509,34.00440792
115,-98.86416652,34.00605316
116,-98.86804809,34.00769828
117,-98.87193145,34.00934058
118,-98.87582615,34.01096427
119,-98.879721,34.01258785
120,-98.88361599,34.01421129
121,-98.88751113,34.01583462
122,-98.89140662,34.01745747
123,-98.89530227,34.01908018
124,-98.89919806,34.02070278
125,-98.903094,34.02232525
126,-98.90699008,34.0239476
127,-98.91078626,34.02572086
128,-98.9146778,34.02735087
129,-98.91852299,34.029055
130,-98.92235591,34.03077874
131,-98.9231457,34.03315479
132,-98.92106061,34.03633932
133,-98.91892986,34.03950227
134,-98.91753153,34.04283018
135,-98.91744233,34.04645639
136,-98.91740312,34.05008322
137,-98.91739242,34.05371028
138,-98.91738172,34.05733734
139,-98.91694314,34.06089956
140,-98.91647316,34.06446729
141,-98.91642717,34.06809414
142,-98.91638119,34.07172098
143,-98.9163352,34.07534781
144,-98.91628534,34.0789746
145,-98.91623161,34.08260134
146,-98.91617788,34.08622808
147,-98.91612413,34.08985482
148,-98.91392842,34.09165633
149,-98.90956918,34.09161414
150,-98.90520994,34.0915718
151,-98.90085071,34.09152931
152,-98.8964915,34.09148552
153,-98.89213231,34.09144042
154,-98.88777312,34.09139517
155,-98.88341394,34.09134976
156,-98.87905481,34.09130142
157,-98.87469573,34.09125003
158,-98.87033666,34.09119849
159,-98.86597758,34.0911468
160,-98.8616185,34.09109588
161,-98.85725941,34.09104591
162,-98.85290032,34.09099579
163,-98.84854124,34.09094551
164,-98.84418206,34.09090165
165,-98.83982278,34.09086557
166,-98.8354635,34.09082934
167,-98.83111659,34.09101223
168,-98.82681141,34.09154584
169,-98.82245282,34.09154312
170,-98.81809343,34.09151371
171,-98.81373405,34.09148415
172,-98.80937582,34.09139622
173,-98.80501765,34.09130599
174,-98.80065963,34.09121102
175,-98.79630174,34.09111223
176,-98.79194385,34.09101329
177,-98.78758598,34.0909142
178,-98.78322789,34.09082215
179,-98.77886976,34.09073138
180,-98.77454366,34.09036442
181,-98.77030941,34.08951549
182,-98.7659622,34.08936414
183,-98.76160303,34.0893254
184,-98.75724386,34.08928651
185,-98.75288469,34.08924747
186,-98.74852553,34.08920828
187,-98.74416637,34.08916894
188,-98.73980722,34.08912944
189,-98.73544807,34.0890898
190,-98.73108894,34.08904907
191,-98.72672982,34.08900771
192,-98.7223707,34.08896619
193,-98.71801158,34.08892452
