OBJECTID,POINT_X,POINT_Y
1,-98.49758300,33.91816700
2,-98.66681700,33.95093300
3,-98.81810000,33.91180000
4,-98.90993300,34.02660000
5,-98.82885000,34.09138300
6,-98.63087900,34.09661900
7,-98.55803500,34.08978900
8,-98.55820000,34.07895000
9,-98.42525000,34.04438300
10,-98.32645000,34.08515000
11,-98.37306700,34.03045000
12,-98.35438300,33.94436700
13,-98.83150000,34.05800000
14,-98.67933300,34.06483300
15,-98.55281700,34.01368300
16,-98.50904200,33.98122000
17,-98.62057800,33.94947800
18,-98.69097800,33.96647900
19,-98.49750000,33.91686700
20,-98.51160000,33.91676700
21,-98.49725000,33.91670000
22,-98.44881700,33.90051700
23,-98.41569800,33.91461400
24,-98.47526300,33.91400200
